번호	뜻	한자	훈독	음독
659	들을 문	聞	ぶん、もん	きく、きこえる
660	물을 문	問	もん	とう、とん
661	모기 문	蚊		か
662	무늬 문	紋	もん	
663	물건 물	物	ぶつ、もつ	もの
664	쌀 미	米	べい、まい	こめ
665	아름다울 미	美	び	うつくしい
666	맛 미	味	み	あじ、あじわう
667	아닐 미	未	み	
668	미혹할 미	迷	めい	まよう
669	꼬리 미	尾	び	お
670	미륵 미	弥	み	や
671	눈썹 미	眉	び、み	まゆ
672	작을 미	微	び	
673	수수께끼 미	謎		なぞ
674	백성 민	民	みん	たみ
675	민감할 민	敏	びん	
676	빽빽할 밀	密	みつ	
677	꿀 밀	蜜	みつ	
678	넓을 박	博	はく、ばく	
679	성씨 박	朴	ぼく	
680	머무를/ 배 댈 박	泊	はく	とまる、とめる
681	칠 박	拍	はく、ひょう	
682	핍박할 박	迫	はく	せまる
683	벗길 박	剝	はく	はがす、はぐ、はがれる、むく
684	배 박	舶	はく	
685	칠 박	撲	ぼく	
686	엷을 박	薄	はく	うすい、うすまる、うすめる、うすらぐ、うすれる、すすき、せまる
687	얽을 박	縛	ばく	しばる
688	반 반	半	はん	なかば
689	돌이킬 반	反	はん、ほん、たん	そる、そらす
690	돌이킬 반	返	へん	かえす、かえる
691	밥 반	飯	はん	ぬし
692	나눌 반	班	はん	
693	짝 반	伴	はん、ばん	ともなう
694	밭두둑 반	畔	はん	あぜ、ほとり
695	일반 반	般	はん	
696	얼룩 반	斑	はん	まだら、ぶち
697	옮길 반	搬	はん	
698	나눌 반	頒	はん	
699	소반 반	盤	ばん	
700	필 발	発	はつ	
701	뽑을 발	抜	ばつ	ぬかす、ぬく、ぬける、ぬかる
702	우쩍 일어날 발	勃	ぼつ	おこる
703	바리때 발	鉢	はち	
704	터럭 발	髪	はつ	かみ
705	모 방	方	ほう	かた
706	놓을 방	放	ほう	はなつ、はなれる、はなす、ほうる
707	찾을 방	訪	ほう	おとずれる、たずねる
708	막을 방	防	ぼう	ふせぐ
709	방해할 방	妨	ぼう	さまたげる
710	나라 방	邦	ほう	くに
711	꽃다울 방	芳	ほう	かんばしい、よし
712	동네 방	坊	ぼう、ぼっ	
713	방 방	房	ぼう	ふさ
714	살찔 방	肪	ぼう	
715	본뜰 방	倣	ほう	ならう
716	길쌈 방	紡	ぼう	つむぐ
717	곁 방	傍	ぼう	かたわら、そば
718	나눌 배	配	はい	くばる
719	곱 배	倍	ばい	
720	절 배	拝	はい	おがむ
721	등 배	背	はい	せ、せい、そむく、そむける
722	배우 배	俳	はい	
723	잔 배	杯	はい	さかずき
724	배척할 배	排	はい	
725	모실 배	陪	ばい	
726	배양할 배	培	ばい	つちかう
727	무리 배	輩	はい	
728	물어줄 배	賠	ばい	
729	흰 백	白	はく、びゃく	しる、しら、しろい
730	일백 백	百	ひゃく	
731	맏 백	伯	はく	
732	차례 번	番	ばん	
733	번성할 번	繁	はん	
